,place_id,place_name,lat,lng,place_address,category,facility_id,facility_available_name,facility_is_available
14425,20002,(주)관전인베스트먼트,37.485281715327524,126.931354504847,서울특별시 관악구 신림로64길29 (신림동),일반숙박시설,200013,점자블록,
14476,20028,2431빌딩,37.55627627815416,126.97434557904829,서울특별시 중구 퇴계로 14,종합병원,200204,점자블록,
14492,20033,"3,4,5,6층학원",37.6680283466912,127.0470649989263,서울특별시 도봉구 마들로650 (방학동),교육원·직업훈련소·학원,200234,점자블록,
14500,20034,4층의원,37.66310040615856,127.04110944975069,서울특별시 도봉구 방학로102 (방학동),종합병원,200244,점자블록,
14569,20073,CGV,37.5284437241851,127.12535988866115,서울특별시 강동구 성내로 48,영화관/공연장,200523,점자블록,
14579,20074,CGV구로14,37.50115888382457,126.88277403171672,서울특별시 구로구 구로중앙로 152,영화관/공연장,200543,점자블록,
14591,20075,CGV상암14,37.5635262478331,126.89843632998341,서울특별시 마포구 월드컵로 244,영화관/공연장,200561,점자블록,
14604,20076,CGV용산 11,37.5297699998206,126.96474274881271,서울특별시 용산구 한강대로23길 55,영화관/공연장,200581,점자블록,
14652,20099,EBM 통합의학,37.474683916185064,127.05112639279658,서울특별시 강남구 논현로8길 28,종합병원,200741,점자블록,
14695,20114,FIRASER SUITES,37.57312329979733,126.98633448373072,서울특별시 종로구 인사동4길 1,일반숙박시설,200853,점자블록,
14728,20121,GMF빌딩,37.53024664616337,127.12102303957626,서울특별시 강동구 올림픽로  546,종합병원,200916,점자블록,
14777,20148,IBK기업은행고객센터,37.5350657306951,127.00705556950723,서울특별시 용산구 한남대로 72,은행,201093,점자블록,
14854,20194,KBS방송국 서울별관,37.518711488257054,126.92941898842821,서울특별시 영등포구 여의대방로 359,영화관/공연장,201430,점자블록,
14865,20199,KGIT강서센터(한독미디어),37.55785463072355,126.84889969671976,서울특별시 강서구 화곡로61길 ,학교,201475,점자블록,
14875,20201,KH바텍사옥,37.48223033295346,127.01273992010954,서울특별시 서초구 반포대로 18,영화관/공연장,201501,점자블록,
14956,20277,LS용산타워,37.528174221896045,126.96752202517916,서울특별시 용산구 한강대로 92,수퍼마켓·일용품 등의 도매·소매시장,202035,점자블록,
15038,20305,Noon Square,37.56341011693503,126.98288636707571,서울특별시 중구 명동길 14,수퍼마켓·일용품 등의 도매·소매시장,202224,점자블록,
15052,20312,PSA SCHOOL (상가3동),37.53979725097382,126.98673885512429,서울특별시 용산구 신흥로  14,교육원·직업훈련소·학원,202277,점자블록,
15103,20341,SK T-타워,37.56648822340009,126.98512682608394,서울특별시 중구 을지로 65,학교,202483,점자블록,
