,place_id,place_name,lat,lng,place_address,category,facility_id,facility_available_name,facility_is_available
14573,20073,CGV,37.5284437241851,127.12535988866115,서울특별시 강동구 성내로 48,영화관/공연장,200517,음료대,
14586,20074,CGV구로14,37.50115888382457,126.88277403171672,서울특별시 구로구 구로중앙로 152,영화관/공연장,200536,음료대,
14598,20075,CGV상암14,37.5635262478331,126.89843632998341,서울특별시 마포구 월드컵로 244,영화관/공연장,200555,음료대,
14610,20076,CGV용산 11,37.5297699998206,126.96474274881271,서울특별시 용산구 한강대로23길 55,영화관/공연장,200574,음료대,
14857,20194,KBS방송국 서울별관,37.518711488257054,126.92941898842821,서울특별시 영등포구 여의대방로 359,영화관/공연장,201424,음료대,
14877,20201,KH바텍사옥,37.48223033295346,127.01273992010954,서울특별시 서초구 반포대로 18,영화관/공연장,201495,음료대,
15171,20378,VERTIGO빌딩,37.55634170573935,126.93730121307377,서울특별시 서대문구 연세로 8-1,영화관/공연장,202719,음료대,
15291,20429,㈜에니웍스,37.5836476795585,127.00231413577556,서울특별시 종로구 동숭길 144,영화관/공연장,203054,음료대,
15370,20450,가나안의집,37.54459718097464,127.13799260844502,서울특별시 강동구 천중로35길 73-7,복지시설,203202,음료대,
15413,20478,가브리엘의집,37.550762417383105,126.97550629168234,서울특별시 용산구 후암로35길 22-23,복지시설,203484,음료대,
15508,20531,갈월동 종합사회복지관,37.5457743450545,126.97482444506555,서울특별시 용산구 두텁바위로 25,복지시설,203969,음료대,
15537,20541,갑을복지재단 재활센터,37.477704626550576,126.91785350660135,서울특별시 관악구 난우16길 13-7,복지시설,204089,음료대,
15558,20556,강남구 직업재활센터,37.48284587857757,127.07937075395105,서울특별시 강남구 광평로64길 22,복지시설,204246,음료대,
15592,20573,강남스포츠문화센터,37.488992130621185,127.10528001613348,서울특별시 강남구 밤고개로1길  52,보건소,204481,음료대,
15615,20582,강남장애인복지관,37.49471831292079,127.0834994877244,서울특별시 강남구 개포로 645,복지시설,204572,음료대,
15635,20585,강남종합사회복지관,37.49198231160321,127.07346872881212,서울특별시 강남구 개포로 605,복지시설,204611,음료대,
15701,20611,강동미르사랑 데이케어센터,37.5351413199334,127.1461259743747,서울특별시 강동구 천호대로 1214,복지시설,204945,음료대,
15766,20647,강북구립보호작업장,37.61633878840478,127.03098946337694,서울특별시 강북구 오현로 1-,복지시설,205294,음료대,
15785,20656,강북문화예술화관,37.64098942633013,127.01387735123377,서울특별시 강북구 삼각산로 85,영화관/공연장,205408,음료대,
15827,20670,강북장애인복지관,37.61636736511229,127.03194543709392,서울특별시 강북구 오현로 18,복지시설,205549,음료대,
15837,20671,강북제일교회사회복지시설,37.62800238404007,127.02595546516173,서울특별시 강북구 도봉로 214,복지시설,205572,음료대,
15873,20688,강서구보건소 화곡보건분소,37.53546719917196,126.84109727614859,서울특별시 강서구 월정로30길 96,보건소,205754,음료대,
16163,20898,경희대학교우체국,37.59109845709271,127.03719743902364,서울특별시 동대문구 회기로 1,우체국,207705,음료대,
16178,20911,고덕1동 주민센터,37.557338443456544,127.15173757426365,서울특별시 강동구 고덕로61길 61,지역자치센터,207817,음료대,
16239,20960,골든시네마,37.47744337707189,126.98128703356329,서울특별시 동작구 동작대로 8,영화관/공연장,208307,음료대,
16267,20981,공덕동자치회관,37.54222951467874,126.95548998908842,서울특별시 마포구 백범로 227,지역자치센터,208468,음료대,
16287,20991,공릉종합사회복지관,37.62958831565961,127.06985648241071,서울특별시 노원구 동일로 1127,복지시설,208585,음료대,
16432,21089,광야홈리스센터,37.5162599,126.90519010000004,서울특별시 영등포구 영등포4가 423-37,복지시설,209453,음료대,
16482,21115,광진구 공연장,37.546422028385436,127.10928510725678,서울특별시 광진구 구천면로 24,영화관/공연장,209703,음료대,
16510,21129,광진종합문화센터,37.53651137862957,127.09648076709179,서울특별시 광진구 광나루로56길 67,영화관/공연장,209885,음료대,
16537,21147,교남소망의집,37.54796965087783,126.85235072276943,서울특별시 강서구 까치산로22길 38,복지시설,210086,음료대,
16566,21155,교육관,37.54296419099017,127.09443419719764,서울특별시 광진구 워커힐로 3,복지시설,210174,음료대,
16629,21188,교통정보센터,37.53962029304504,127.04431384285505,서울특별시 성동구 왕십리로 28,경찰서,210472,음료대,
16654,21222,구로종합사회복지관,37.48682257702298,126.89082890797512,서울특별시 구로구 디지털로31길 93,복지시설,210885,음료대,
16749,21254,구립용산장애인복지관,37.53368613841085,126.95072053962977,서울특별시 용산구 효창원로3길 51,복지시설,211170,음료대,
16774,21261,구립장애인보호작업시설,37.489727219184644,126.82478039574607,서울특별시 구로구 경인로 21,복지시설,211240,음료대,
16794,21262,구립장애인보호작업장,37.51198095762709,126.93244303956894,서울특별시 동작구 등용로12길 57,복지시설,211262,음료대,
16821,21281,구세군144주년기념빌딩,37.5651938759843,126.96544140920116,서울특별시 서대문구 충정로 71-5,영화관/공연장,211446,음료대,
16841,21282,구세군강북사회종합복지관,37.6256799328332,127.0133941983791,서울특별시 강북구 인수봉로20가길 24,복지시설,211466,음료대,
16856,21283,구세군자활주거복지센터,37.59336500510857,127.09551239550972,서울특별시 중랑구 봉우재로58길 24,복지시설,211488,음료대,
16961,21368,군자동극장,37.53408430699921,127.0676312012205,서울특별시 광진구 능동로  28,영화관/공연장,212418,음료대,
16997,21379,궁동종합사회복지관,37.49913350853486,126.82956240498748,서울특별시 구로구 오리로22길 5,복지시설,212532,음료대,
17188,21520,금호1가보건분소,37.55300419463702,127.02403723653543,서울특별시 성동구 금호로  114,보건소,213561,음료대,
17194,21523,금호4가동주민센터,37.54716865205317,127.0271586017403,서울특별시 성동구 독서당로52가길  2,지역자치센터,213604,음료대,
17241,21551,기쁜우리복지관,37.56930782505573,126.8486954521885,서울특별시 강서구 허준로  65,복지시설,213833,음료대,
17293,21570,길2치안센터,37.540199327871186,127.14773805177354,서울특별시 강동구 천호대로197길 96,경찰서,213999,음료대,
