,place_id,place_name,lat,lng,place_address,category,facility_id,facility_available_name,facility_is_available
1,0,가락시장역,37.4923175,127.118104,서울특별시 송파구,지하철,900001,장애인용 승강기,이용가능
2,1,가산디지털단지역,37.48089,126.8825735,서울특별시 금천구,지하철,900003,장애인용 승강기,이용가능
5,3,강남역,37.49794199999999,127.027621,서울특별시 강남구,지하철,900008,장애인용 승강기,이용가능
6,5,강동역,37.53594,127.13218700000002,서울특별시 강동구,지하철,900017,장애인용 승강기,이용가능
9,7,강변역,37.535144,127.094672,서울특별시 광진구,지하철,900022,장애인용 승강기,이용가능
11,8,개농역,37.4981619,127.1346598,서울특별시 광진구,지하철,900025,장애인용 승강기,이용가능
13,10,개화산역,37.572455,126.806839,서울특별시 강서구,지하철,900027,장애인용 승강기,이용가능
14,11,거여역,37.493422,127.143597,서울특별시 송파구,지하철,900031,장애인용 승강기,이용가능
16,12,건대입구역,37.54038900000001,127.069236,서울특별시 광진구,지하철,900034,장애인용 승강기,이용가능
19,15,고덕역,37.555051,127.15411,서울특별시 강동구,지하철,900039,장애인용 승강기,이용가능
21,16,고려대역,37.590401,127.035859,서울특별시 성북구,지하철,900042,장애인용 승강기,이용가능
23,17,고속터미널역,37.5049142,127.00491509999998,서울특별시 서초구,지하철,900045,장애인용 승강기,이용가능
24,20,공덕역,37.54322,126.951576,서울특별시 마포구,지하철,900047,장애인용 승강기,이용가능
26,21,공릉역,37.625787,127.072894,서울특별시 노원구,지하철,900049,장애인용 승강기,이용가능
28,24,광나루역,37.54533199999999,127.103606,서울특별시 광진구,지하철,900054,장애인용 승강기,이용가능
31,26,광화문역,37.5705263,126.9765729,서울특별시 종로구,지하철,900061,장애인용 승강기,이용가능
32,27,광흥창역,37.54747800000001,126.931855,서울특별시 마포구,지하철,900064,장애인용 승강기,이용가능
35,28,교대역,37.4934705,127.0142285,서울특별시 서초구,지하철,900066,장애인용 승강기,이용가능
37,30,구로디지털단지역,37.48525,126.901472,서울특별시 구로구,지하철,900069,장애인용 승강기,이용가능
39,31,구산역,37.611324,126.917297,서울특별시 은평구,지하철,900071,장애인용 승강기,이용가능
40,32,구의역,37.5368933,127.0852645,서울특별시 광진구,지하철,900075,장애인용 승강기,이용가능
43,34,구파발역,37.636581,126.918833,서울특별시 은평구,지하철,900078,장애인용 승강기,이용가능
45,35,군자역,37.5573355,127.07958899999998,서울특별시 광진구,지하철,900081,장애인용 승강기,이용가능
47,37,굽은다리역,37.545539,127.142906,서울특별시 강동구,지하철,900083,장애인용 승강기,이용가능
