,place_id,place_name,lat,lng,place_address,category,facility_id,facility_available_name,facility_is_available
411,10001,BBC씨어터,37.5239298,127.0251432,서울특별시 강남구 신사동  568-2,영화관/공연장,100003,장애인 전용 주차구역,이용가능
414,10002,BREAK OUT 전용극장,37.5688354,126.988123,서울특별시 종로구 관철동 33-1,영화관/공연장,100008,장애인 전용 주차구역,이용불편
419,10005,CGV 강남,37.501621,127.0263906,서울특별시 강남구 역삼동 814-6 스타플렉스 4-11층,영화관/공연장,100013,장애인 전용 주차구역,이용가능
428,10008,CGV 송파,37.4787378,127.1211166,서울특별시 송파구 문정동 294 가든파이브 라이프 YOUNG관 10층,영화관/공연장,100022,장애인 전용 주차구역,이용가능
434,10009,CGV강변,37.52845170000001,127.1253784,서울특별시 강동구 성내로 48,영화관/공연장,100028,장애인 전용 주차구역,이용가능
441,10010,CGV구로,37.5011769,126.8828472,서울특별시 구로구 구로중앙로 152,영화관/공연장,100033,장애인 전용 주차구역,이용불편
444,10011,CGV군자,37.5558098,127.0783645,서울특별시 광진구 능동로  289,영화관/공연장,100038,장애인 전용 주차구역,이용불편
456,10013,CGV목동,37.5265922,126.8744517,서울특별시 양천구 목동동로 257,영화관/공연장,100047,장애인 전용 주차구역,이용가능
458,10014,CGV불광,37.60974,126.92896809999999,서울특별시 은평구 불광로  20,영화관/공연장,100052,장애인 전용 주차구역,이용가능
463,10015,CGV신촌아트레온,37.556540399999996,126.9402938,서울특별시 서대문구 신촌로  129,영화관/공연장,100057,장애인 전용 주차구역,이용가능
471,10016,CGV신한카드아트홀(구 CGV팝아트홀),37.5170517,126.90333319999999,서울특별시 영등포구 영등포동 4가 442번지 타임스퀘어내 CGV팝아트홀 7층,영화관/공연장,100062,장애인 전용 주차구역,이용가능
473,10017,CGV압구정,37.5243665,127.0294163,서울특별시 강남구 압구정로30길  45,영화관/공연장,100067,장애인 전용 주차구역,이용가능
477,10018,CGV영등포,37.529261299999995,126.9249062,서울특별시 영등포구 여의공원로 101,영화관/공연장,100071,장애인 전용 주차구역,이용가능
