,place_id,place_name,lat,lng,place_address,category,facility_id,facility_available_name,facility_is_available
15365,20450,가나안의집,37.54459718097464,127.13799260844502,서울특별시 강동구 천중로35길 73-7,복지시설,203205,샤워실 및 탈의실,
15418,20478,가브리엘의집,37.550762417383105,126.97550629168234,서울특별시 용산구 후암로35길 22-23,복지시설,203487,샤워실 및 탈의실,
15513,20531,갈월동 종합사회복지관,37.5457743450545,126.97482444506555,서울특별시 용산구 두텁바위로 25,복지시설,203972,샤워실 및 탈의실,
15542,20541,갑을복지재단 재활센터,37.477704626550576,126.91785350660135,서울특별시 관악구 난우16길 13-7,복지시설,204092,샤워실 및 탈의실,
15557,20556,강남구 직업재활센터,37.48284587857757,127.07937075395105,서울특별시 강남구 광평로64길 22,복지시설,204249,샤워실 및 탈의실,
15614,20582,강남장애인복지관,37.49471831292079,127.0834994877244,서울특별시 강남구 개포로 645,복지시설,204575,샤워실 및 탈의실,
15634,20585,강남종합사회복지관,37.49198231160321,127.07346872881212,서울특별시 강남구 개포로 605,복지시설,204614,샤워실 및 탈의실,
15696,20611,강동미르사랑 데이케어센터,37.5351413199334,127.1461259743747,서울특별시 강동구 천호대로 1214,복지시설,204948,샤워실 및 탈의실,
15761,20647,강북구립보호작업장,37.61633878840478,127.03098946337694,서울특별시 강북구 오현로 1-,복지시설,205297,샤워실 및 탈의실,
15822,20670,강북장애인복지관,37.61636736511229,127.03194543709392,서울특별시 강북구 오현로 18,복지시설,205552,샤워실 및 탈의실,
15842,20671,강북제일교회사회복지시설,37.62800238404007,127.02595546516173,서울특별시 강북구 도봉로 214,복지시설,205575,샤워실 및 탈의실,
16281,20991,공릉종합사회복지관,37.62958831565961,127.06985648241071,서울특별시 노원구 동일로 1127,복지시설,208588,샤워실 및 탈의실,
16437,21089,광야홈리스센터,37.5162599,126.90519010000004,서울특별시 영등포구 영등포4가 423-37,복지시설,209456,샤워실 및 탈의실,
16542,21147,교남소망의집,37.54796965087783,126.85235072276943,서울특별시 강서구 까치산로22길 38,복지시설,210089,샤워실 및 탈의실,
16567,21155,교육관,37.54296419099017,127.09443419719764,서울특별시 광진구 워커힐로 3,복지시설,210177,샤워실 및 탈의실,
16655,21222,구로종합사회복지관,37.48682257702298,126.89082890797512,서울특별시 구로구 디지털로31길 93,복지시설,210888,샤워실 및 탈의실,
16747,21254,구립용산장애인복지관,37.53368613841085,126.95072053962977,서울특별시 용산구 효창원로3길 51,복지시설,211173,샤워실 및 탈의실,
16779,21261,구립장애인보호작업시설,37.489727219184644,126.82478039574607,서울특별시 구로구 경인로 21,복지시설,211243,샤워실 및 탈의실,
16792,21262,구립장애인보호작업장,37.51198095762709,126.93244303956894,서울특별시 동작구 등용로12길 57,복지시설,211265,샤워실 및 탈의실,
16836,21282,구세군강북사회종합복지관,37.6256799328332,127.0133941983791,서울특별시 강북구 인수봉로20가길 24,복지시설,211469,샤워실 및 탈의실,
16851,21283,구세군자활주거복지센터,37.59336500510857,127.09551239550972,서울특별시 중랑구 봉우재로58길 24,복지시설,211491,샤워실 및 탈의실,
16996,21379,궁동종합사회복지관,37.49913350853486,126.82956240498748,서울특별시 구로구 오리로22길 5,복지시설,212535,샤워실 및 탈의실,
17240,21551,기쁜우리복지관,37.56930782505573,126.8486954521885,서울특별시 강서구 허준로  65,복지시설,213836,샤워실 및 탈의실,
17327,21590,길음종합사회복지관,37.608815196546814,127.02478001302087,서울특별시 성북구 삼양로8가길  32,복지시설,214181,샤워실 및 탈의실,
17418,21657,꿈자람터?장애인주간보호센터,37.56024040629791,126.85169270104666,서울특별시 강서구 공항대로43길 104,복지시설,214719,샤워실 및 탈의실,
17452,21667,나눔아트센터,37.63642373050545,127.07764405340069,서울특별시 노원구 공릉로58마길 27,복지시설,214814,샤워실 및 탈의실,
17625,21767,내발산동 사회복지시설,37.557281236580884,126.84309718791616,서울특별시 강서구 강서로52길  88,복지시설,215700,샤워실 및 탈의실,
17831,21855,노원제1장애인주간보호소,37.62924793057825,127.0596650314527,서울특별시 노원구 월계로 372,복지시설,216554,샤워실 및 탈의실,
17897,21889,녹번종합사회복지관,37.60271099417693,126.9317812647442,서울특별시 은평구 은평로21길  14-26,복지시설,216863,샤워실 및 탈의실,
17990,21924,뇌성마비복지관,37.574541425246814,126.81613246163393,서울특별시 강서구 방화대로45길  6,복지시설,217157,샤워실 및 탈의실,
18020,21929,누야하우스,37.60564519156108,126.90634278387111,서울특별시 은평구 갈현로11길  34,복지시설,217214,샤워실 및 탈의실,
18060,21937,뉴비젼빌딩,37.58315289082178,127.0731914133896,서울특별시 동대문구 장안벚꽃로7길 5,복지시설,217301,샤워실 및 탈의실,
18138,21959,늘편한집,37.649839127725855,127.08070849567379,서울특별시 노원구 중계로 163,복지시설,217508,샤워실 및 탈의실,
18151,21964,늘푸른나무복지관,37.568536051157714,126.851119344796,서울특별시 강서구 허준로5길 37,복지시설,217555,샤워실 및 탈의실,
18185,21977,능인종합사회복지관,37.47167750229508,127.0525939550434,서울특별시 강남구 양재대로 344,복지시설,217664,샤워실 및 탈의실,
18232,22001,"다운복지관(1층,2층)",37.61894280874471,127.08031262372484,서울특별시 노원구 화랑로 478,복지시설,217854,샤워실 및 탈의실,
18391,22137,대방종합사회복지관,37.50992549768564,126.93042710651699,서울특별시 동작구 여의대방로44길 47,복지시설,218996,샤워실 및 탈의실,
18547,22255,대청사회복지관(증축),37.48393815160635,127.07899653234749,서울특별시 강남구 광평로7길 17,복지시설,219928,샤워실 및 탈의실,
18890,22466,돌봄의 집,37.54526029862822,127.13800740968418,서울특별시 강동구 상암로28길 3-14,복지시설,221837,샤워실 및 탈의실,
18927,22507,동대문종합사회복지관,37.58402116625186,127.03419594182556,서울특별시 동대문구 약령시로5길 22,복지시설,222260,샤워실 및 탈의실,
18974,22532,동방사회복지회관(별관),37.571258848183824,126.91984274888206,서울특별시 서대문구 모래내로 173,복지시설,222480,샤워실 및 탈의실,
19152,22686,동작이수종합사회복지관,37.49312014186384,126.97687755566365,서울특별시 동작구 동작대로35차길 7,복지시설,223823,샤워실 및 탈의실,
19163,22687,동작종합사회복지관,37.505714122452034,126.93341680787148,서울특별시 동작구 등용로 47,복지시설,223846,샤워실 및 탈의실,
19197,22702,동천의집,37.64451397788511,127.07292525022612,서울특별시 노원구 노원로18길 41,복지시설,223970,샤워실 및 탈의실,
19328,22789,"등촌1,2단지 복지관",37.565385474725474,126.84225618100642,서울특별시 강서구 강서로68길  36,복지시설,224666,샤워실 및 탈의실,
19338,22795,등촌4종합사회복지관,37.56188161033503,126.80991135278586,서울특별시 강서구 공항대로3길 5,복지시설,224752,샤워실 및 탈의실,
19492,22858,라파엘의집,37.57883613347313,126.96978684910826,서울특별시 종로구 필운대로2길 16,복지시설,225280,샤워실 및 탈의실,
19921,23074,마음자리,37.54970612586629,126.84619567115324,서울특별시 강서구 화곡로53나길  53,복지시설,226962,샤워실 및 탈의실,
19961,23108,마포복지종합지원센터,37.5559950297108,126.94304622446259,서울특별시 마포구 신촌로26길 14,복지시설,227290,샤워실 및 탈의실,
19989,23114,마포장애인종합복지관,37.56544557817517,126.90080162637967,서울특별시 마포구 월드컵로 213,복지시설,227393,샤워실 및 탈의실,
20006,23115,마포장애인주간보호(월드타운대림)(월드컵북로34길13),37.55758125670983,126.919151180836,서울특별시 마포구 월드컵북로34길  -22,복지시설,227415,샤워실 및 탈의실,
20041,23132,맑음터단기보호센터,37.549196642392594,126.94049389365965,서울특별시 마포구 백범로 73-11,복지시설,227550,샤워실 및 탈의실,
20135,23177,메디아카데미,37.54255130105838,127.1400437101922,서울특별시 강동구 양재대로121길 25,복지시설,227965,샤워실 및 탈의실,
20864,23603,방아골복지관,37.66931261272068,127.0326391263692,서울특별시 도봉구 시루봉로17길 42,복지시설,231631,샤워실 및 탈의실,
20896,23611,방이복지관,37.514644489531854,127.11418851918964,서울특별시 송파구 오금로11길 68,복지시설,231708,샤워실 및 탈의실,
20931,23628,방화11종합복지관(별관),37.570718963971686,126.80572779900083,서울특별시 강서구 개화동로21길  4,복지시설,231913,샤워실 및 탈의실,
21237,23825,본동종합사회복지관,37.51309849808242,126.95595520770031,서울특별시 동작구 노량진로32길 7,복지시설,233548,샤워실 및 탈의실,
21354,23895,북부종합사회복지관,37.679706390307324,127.0524094511817,서울특별시 노원구 동일로245길 56,복지시설,234126,샤워실 및 탈의실,
21608,24025,사당종합사회복지관,37.482847476262585,126.97149888669121,서울특별시 동작구 사당로14길 24,복지시설,235156,샤워실 및 탈의실,
21628,24030,사랑나눔주간보호,37.49691982086978,127.15258324978217,서울특별시 송파구 마천로51길 28,복지시설,235220,샤워실 및 탈의실,
21663,24036,사랑손주간보호센터,37.4926011109021,126.96260721393257,서울특별시 동작구 사당로2길 32,복지시설,235285,샤워실 및 탈의실,
21688,24044,사랑의복지관,37.50050421510755,127.02590222082449,서울특별시 서초구 강남대로65길  1,복지시설,235360,샤워실 및 탈의실,
21729,24065,사회복지법인 한벗재단,37.53384107271477,126.95062992513256,서울특별시 용산구 효창원로6길 42-3,복지시설,235550,샤워실 및 탈의실,
21748,24066,사회복지시설,37.54113965868448,127.14508310682376,서울특별시 강동구 천중로53길 7,복지시설,235571,샤워실 및 탈의실,
21869,24170,삼성애니아트,37.49849836419981,126.94661824611583,서울특별시 동작구 양녕로22마길 77,복지시설,236382,샤워실 및 탈의실,
22031,24312,상계종합복지관,37.668091017040965,127.07832536015448,서울특별시 노원구 덕릉로115나길 25,복지시설,237622,샤워실 및 탈의실,
22048,24316,상금복지관,37.47372781474297,126.89741842168924,서울특별시 금천구 시흥대로141길 17,복지시설,237673,샤워실 및 탈의실,
22066,24331,상도종합사회복지관,37.500138223984386,126.9209502154868,서울특별시 동작구 상도로3가길 7,복지시설,237833,샤워실 및 탈의실,
22212,24457,생명의전화종합사회복지관,37.604126836868076,127.03704537943935,서울특별시 성북구 오패산로 21,복지시설,238924,샤워실 및 탈의실,
22232,24471,샬롬의집,37.55688483509514,126.81568693660984,서울특별시 강서구 방화대로7가길 11,복지시설,239030,샤워실 및 탈의실,
22333,24517,서대문장애인종합복지관(북아현동주민센터),37.55947159082256,126.95703708357377,서울특별시 서대문구 북아현로 24,복지시설,239522,샤워실 및 탈의실,
22500,24591,서울노원지역자활센터,37.663726523222905,127.06684648280256,서울특별시 노원구 한글비석로47길 -3,복지시설,240425,샤워실 및 탈의실,
22687,24664,서울모자의집,37.498168158252795,126.82744309205404,서울특별시 구로구 오리로17길  77-14,복지시설,241326,샤워실 및 탈의실,
22929,24751,서울시립 뇌성마비종합복지관,37.64244347787962,127.05658008579952,서울특별시 노원구 덕릉로70가길 96,복지시설,242298,샤워실 및 탈의실,
22952,24754,서울시립북부장애인종합복지관,37.64253699263409,127.056969927077,서울특별시 노원구 덕릉로70가길 92,복지시설,242343,샤워실 및 탈의실,
22972,24755,서울 시립상이군경복지관,37.64281777599706,127.05763637937977,서울특별시 노원구 덕릉로70가길 73,복지시설,242365,샤워실 및 탈의실,
23184,24854, 서울장애인종합복지관,37.553820734094046,127.151906988264,서울특별시 강동구 고덕로 241,복지시설,243529,샤워실 및 탈의실,
23645,25087,성가복지병원,37.59217301142522,127.03533649000708,서울특별시 성북구 종암로 11,복지시설,245788,샤워실 및 탈의실,
23732,25143,성동장애인종합복지관,37.57072971002936,127.03415816902093,서울특별시 성동구 청계천로   516,복지시설,246373,샤워실 및 탈의실,
23766,25154,성모자애복지관,37.470591011692854,127.1193079878192,서울특별시 강남구 헌릉로757길 35,복지시설,246459,샤워실 및 탈의실,
23777,25157,성민복지관,37.655929913212475,127.06913320420664,서울특별시 노원구 노원로32길 34-3,복지시설,246493,샤워실 및 탈의실,
23804,25174,성북구보훈회관,37.60497407683325,127.04636840312651,서울특별시 성북구 화랑로  134,복지시설,246649,샤워실 및 탈의실,
23846,25186,성북시각장애인복지관,37.5955283953224,127.01940378389963,서울특별시 성북구 동소문로25가길  24,복지시설,246806,샤워실 및 탈의실,
23879,25208,성산임대아파트 사회복지관 ,37.56515695114194,126.90043527997923,서울특별시 마포구 월드컵로  215,복지시설,247041,샤워실 및 탈의실,
23906,25231,성수문화복지회관,37.54542892060686,127.04694707758443,서울특별시 성동구 뚝섬로1길 43,복지시설,247273,샤워실 및 탈의실,
23988,25305,성프란치스꼬장애인종합복지관,37.48180191564522,126.89056486396768,서울특별시 구로구 남부순환로 105라길 25-10,복지시설,247903,샤워실 및 탈의실,
24227,25466,솔바람복지센터,37.53600740310847,127.11587298628555,서울특별시 송파구 풍성로5길 16,복지시설,249152,샤워실 및 탈의실,
24378,25578,수서종합사회복지관,37.487979084583344,127.10563137733976,서울특별시 강남구 광평로56길 11,복지시설,250144,샤워실 및 탈의실,
24437,25605,수유종합사회복지관,37.64256756576402,127.01683718170229,서울특별시 강북구 삼양로112길  5,복지시설,250408,샤워실 및 탈의실,
24635,25709,승가원,37.590077022223966,127.02982819761117,서울특별시 성북구 개운사길 76-1,복지시설,251244,샤워실 및 탈의실,
24655,25720,시각장애인복지관,37.49838684086344,127.09360904036049,서울특별시 송파구 삼학사로1길 27,복지시설,251334,샤워실 및 탈의실,
24723,25731,시립광진노인종합복지관 A동,37.55109644167493,127.07159835340424,서울특별시 광진구 군자로 88,복지시설,251438,샤워실 및 탈의실,
24734,25733,시립노숙인복지시설 보현의집,37.52128419039926,126.91243020912836,서울특별시 영등포구 버드나루로 24,복지시설,251473,샤워실 및 탈의실,
24754,25735,시립대종합사회복지관,37.609298609165,127.09490307049442,서울특별시 중랑구 신내로 115,복지시설,251503,샤워실 및 탈의실,
