,place_id,place_name,lat,lng,place_address,category,facility_id,facility_available_name,facility_is_available
0,0,가락시장역,37.4923175,127.118104,서울특별시 송파구,지하철,900000,장애인용 화장실,이용가능
3,1,가산디지털단지역,37.48089,126.8825735,서울특별시 금천구,지하철,900004,장애인용 화장실,이용가능
4,3,강남역,37.49794199999999,127.027621,서울특별시 강남구,지하철,900007,장애인용 화장실,이용가능
7,5,강동역,37.53594,127.13218700000002,서울특별시 강동구,지하철,900014,장애인용 화장실,이용가능
8,7,강변역,37.535144,127.094672,서울특별시 광진구,지하철,900021,장애인용 화장실,이용가능
10,8,개농역,37.4981619,127.1346598,서울특별시 광진구,지하철,900024,장애인용 화장실,이용가능
12,10,개화산역,37.572455,126.806839,서울특별시 강서구,지하철,900026,장애인용 화장실,이용가능
15,11,거여역,37.493422,127.143597,서울특별시 송파구,지하철,900028,장애인용 화장실,이용가능
17,12,건대입구역,37.54038900000001,127.069236,서울특별시 광진구,지하철,900032,장애인용 화장실,이용가능
18,15,고덕역,37.555051,127.15411,서울특별시 강동구,지하철,900038,장애인용 화장실,이용가능
20,16,고려대역,37.590401,127.035859,서울특별시 성북구,지하철,900041,장애인용 화장실,이용가능
22,17,고속터미널역,37.5049142,127.00491509999998,서울특별시 서초구,지하철,900044,장애인용 화장실,이용가능
25,20,공덕역,37.54322,126.951576,서울특별시 마포구,지하철,900048,장애인용 화장실,이용가능
27,21,공릉역,37.625787,127.072894,서울특별시 노원구,지하철,900051,장애인용 화장실,이용가능
29,24,광나루역,37.54533199999999,127.103606,서울특별시 광진구,지하철,900052,장애인용 화장실,이용가능
30,26,광화문역,37.5705263,126.9765729,서울특별시 종로구,지하철,900060,장애인용 화장실,이용가능
33,27,광흥창역,37.54747800000001,126.931855,서울특별시 마포구,지하철,900062,장애인용 화장실,이용가능
34,28,교대역,37.4934705,127.0142285,서울특별시 서초구,지하철,900065,장애인용 화장실,이용가능
36,30,구로디지털단지역,37.48525,126.901472,서울특별시 구로구,지하철,900068,장애인용 화장실,이용가능
38,31,구산역,37.611324,126.917297,서울특별시 은평구,지하철,900070,장애인용 화장실,이용가능
41,32,구의역,37.5368933,127.0852645,서울특별시 광진구,지하철,900074,장애인용 화장실,이용가능
42,34,구파발역,37.636581,126.918833,서울특별시 은평구,지하철,900077,장애인용 화장실,이용가능
44,35,군자역,37.5573355,127.07958899999998,서울특별시 광진구,지하철,900080,장애인용 화장실,이용가능
46,37,굽은다리역,37.545539,127.142906,서울특별시 강동구,지하철,900082,장애인용 화장실,이용가능
49,39,금호역,37.54826,127.01578899999998,서울특별시 성동구,지하철,900085,장애인용 화장실,이용가능
51,40,길동역,37.537769,127.139992,서울특별시 강동구,지하철,900088,장애인용 화장실,이용가능
53,41,길음역,37.603185,127.024914,서울특별시 성북구,지하철,900091,장애인용 화장실,이용가능
54,42,김포공항역,37.5618288,126.8019274,서울특별시 강서구,지하철,900092,장애인용 화장실,이용가능
56,43,까치산역,37.5317675,126.8467055,서울특별시 강서구,지하철,900095,장애인용 화장실,이용가능
59,44,낙성대역,37.477117,126.963418,서울특별시 관악구,지하철,900099,장애인용 화장실,이용가능
61,45,남구로역,37.486087,126.887272,서울특별시 구로구,지하철,900102,장애인용 화장실,이용가능
62,46,남부터미널역,37.48491,127.016274,서울특별시 서초구,지하철,900105,장애인용 화장실,이용가능
64,47,남성역,37.484876,126.970673,서울특별시 동작구,지하철,900107,장애인용 화장실,이용가능
67,49,남태령역,37.464237,126.989097,서울특별시 서초구,지하철,900110,장애인용 화장실,이용가능
