,place_id,place_name,lat,lng,place_address,category,facility_id,facility_available_name,facility_is_available
408,10001,BBC씨어터,37.5239298,127.0251432,서울특별시 강남구 신사동  568-2,영화관/공연장,100006,장애인용 관람석,이용가능
417,10002,BREAK OUT 전용극장,37.5688354,126.988123,서울특별시 종로구 관철동 33-1,영화관/공연장,100011,장애인용 관람석,이용가능
422,10005,CGV 강남,37.501621,127.0263906,서울특별시 강남구 역삼동 814-6 스타플렉스 4-11층,영화관/공연장,100016,장애인용 관람석,이용가능
423,10006,CGV 명동,37.5634244,126.9829197,서울특별시 중구 명동2가 83-5 눈스퀘어 8층,영화관/공연장,100018,장애인용 관람석,이용가능
432,10008,CGV 송파,37.4787378,127.1211166,서울특별시 송파구 문정동 294 가든파이브 라이프 YOUNG관 10층,영화관/공연장,100026,장애인용 관람석,이용가능
467,10016,CGV신한카드아트홀(구 CGV팝아트홀),37.5170517,126.90333319999999,서울특별시 영등포구 영등포동 4가 442번지 타임스퀘어내 CGV팝아트홀 7층,영화관/공연장,100065,장애인용 관람석,이용가능
475,10017,CGV압구정,37.5243665,127.0294163,서울특별시 강남구 압구정로30길  45,영화관/공연장,100069,장애인용 관람석,이용가능
494,10023,LG아트센터,37.5019921,127.03735220000002,서울특별시 강남구 논현로  508,영화관/공연장,100088,장애인용 관람석,이용가능
500,10030,건국대학교 국제회의장,37.5438883,127.07595459999999,서울특별시 광진구 능동로 120 (화양동),영화관/공연장,100096,장애인용 관람석,이용가능
507,10038,국립중앙박물관 극장 용,37.5202471,126.9824662,서울특별시 용산구 용산동 6가 168-6번지,영화관/공연장,100125,장애인용 관람석,이용불편
518,10039,그랜드 앰배서더 서울 그랜드 볼룸,37.5601325,127.00231000000001,서울특별시 중구 장충동 2가 186-54,영화관/공연장,100131,장애인용 관람석,이용가능
533,10044,나루아트센터,37.5374246,127.070453,서울특별시 광진구 능동로 76 (자양동),영화관/공연장,100146,장애인용 관람석,이용불편
536,10046,난타전용관(명동),37.5634602,126.98375190000002,서울특별시 중구 명동 2가 50-14 유네스코빌딩 3층,영화관/공연장,100149,장애인용 관람석,이용가능
539,10047,난타전용관(홍대),37.553188,126.92118020000001,"서울특별시 마포구 양화로16길 29 옐로우다이아몬드 지하 2,3층",영화관/공연장,100154,장애인용 관람석,이용가능
543,10048,남산예술센터,37.5587774,126.98824840000002,서울특별시 중구 소파로 138 (예장동 8-19),영화관/공연장,100156,장애인용 관람석,이용가능
555,10062,대한극장,37.559878499999996,126.9671041,서울특별시 중구 청파로 463,영화관/공연장,100171,장애인용 관람석,이용가능
561,10065,동영아트홀 (구 계몽아트홀),37.497800399999996,127.0441092,서울특별시 강남구 역삼동 772,영화관/공연장,100181,장애인용 관람석,이용가능
576,10069,레진코믹스 브이홀,37.55441500000001,126.92196609999999,서울특별시 마포구 홍익로 25 서교호텔별관 지하,영화관/공연장,100192,장애인용 관람석,이용가능
592,10074,롯데시네마 강동관,37.536654999999996,127.125348,서울특별시 강동구 성내동 44-1,영화관/공연장,100212,장애인용 관람석,이용가능
600,10075,롯데시네마 건대입구관,37.537510499999996,127.0725939,서울특별시 광진구 아차산로 262 (자양동),영화관/공연장,100216,장애인용 관람석,이용가능
614,10079,롯데시네마 씨티(강남),37.5003768,127.0269314,서울특별시 강남구 역삼동 816,영화관/공연장,100230,장애인용 관람석,이용가능
618,10082,롯데시네마 피카디리관,37.571043700000004,126.9912115,서울특별시 종로구 돈의동 137,영화관/공연장,100242,장애인용 관람석,이용가능
630,10086,롯데시네마 황학,37.571029100000004,127.0212194,서울특별시 중구 황학동 2545 롯데캐슬 베네치아 1층 1222~4호,영화관/공연장,100258,장애인용 관람석,이용가능
653,10094,메가박스 동대문,37.5658032,127.0074043,서울특별시 중구 을지로6가 21,영화관/공연장,100281,장애인용 관람석,이용가능
682,10101,메가박스 코엑스,37.512487799999995,127.058853,서울특별시 강남구 삼성동 159,영화관/공연장,100313,장애인용 관람석,이용가능
686,10103,명동예술극장,37.564057,126.9841854,서울특별시 중구 명동길 35 명동예술극장,영화관/공연장,100320,장애인용 관람석,이용가능
687,10104,명보아트홀,37.5647012,126.99321509999999,서울특별시 중구 초동 18-5,영화관/공연장,100324,장애인용 관람석,이용가능
696,10107,목동아이스링크,37.530525399999995,126.88169690000001,서울특별시 양천구 목1동 914,영화관/공연장,100330,장애인용 관람석,이용불편
699,10108,문예회관소극장,37.5799333,127.00289699999999,서울특별시 종로구 동숭동 1-130,영화관/공연장,100333,장애인용 관람석,이용가능
703,10112,뮤지컬 전용관 팝콘하우스,37.5658696,126.972876,서울특별시 중구 정동 8-11 (구 정동이벤트홀),영화관/공연장,100338,장애인용 관람석,이용가능
707,10113,민속극장 풍류,37.510234999999994,127.0446673,서울특별시 강남구 삼성동 112-2 한국문화재보호재단,영화관/공연장,100341,장애인용 관람석,이용가능
711,10115,백암아트홀,37.5105408,127.065929,서울특별시 강남구 삼성동 170-5 백암아트홀,영화관/공연장,100345,장애인용 관람석,이용가능
725,10123,샤롯데씨어터,37.5119444,127.1009753,서울특별시 송파구 잠실동 41-1번지,영화관/공연장,100359,장애인용 관람석,이용가능
727,10125,서울 신라호텔 다이너스티홀,37.5568322,127.0063426,서울특별시 중구 장충동2가 202,영화관/공연장,100364,장애인용 관람석,이용가능
735,10126,서울 잠실 학생체육관,37.5121532,127.0754598,서울특별시 송파구 잠실1동 10-3 종합운동장 내,영화관/공연장,100369,장애인용 관람석,이용불편
741,10128,서울극장,37.572185,126.97686609999998,서울특별시 종로구 세종대로 175,영화관/공연장,100378,장애인용 관람석,이용가능
749,10129,서울놀이마당,37.5077131,127.10058300000001,서울특별시 송파구 잠실동 47번지,영화관/공연장,100383,장애인용 관람석,이용불편
754,10131,서울애니시네마,37.5584252,126.9879469,서울특별시 중구 예장동8-145,영화관/공연장,100388,장애인용 관람석,이용가능
758,10133,서울패션아트홀,37.567161,127.01213200000001,서울특별시 중구 신당동 251-7번지 서울패션센터 5층 서울패션아트홀,영화관/공연장,100392,장애인용 관람석,이용가능
760,10135,세라믹팔레스홀,37.4857831,127.08235330000001,서울특별시 강남구 일원동 713,영화관/공연장,100396,장애인용 관람석,이용가능
765,10138,세종대학교 대양홀,37.5514706,127.073884,서울특별시 광진구 능동로 209 (군자동),영화관/공연장,100399,장애인용 관람석,이용가능
773,10141,소공동 롯데호텔 크리스탈볼룸,37.5646602,126.98095330000001,서울특별시 중구 소공동 1번지 롯데호텔 2층,영화관/공연장,100407,장애인용 관람석,이용가능
784,10147,쉐라톤그랜드워커힐호텔 워커힐씨어터,37.5586439,127.1117098,서울특별시 광진구 워커힐로 177 (광장동),영화관/공연장,100418,장애인용 관람석,이용불편
804,10158,압구정 예홀,37.5278631,127.0362481,서울특별시 강남구 신사동 640-2 로빈명풍관 지하1층,영화관/공연장,100450,장애인용 관람석,이용가능
818,10162,역삼1문화센터,37.4952786,127.03324099999999,서울특별시 강남구 역삼동 829-20,영화관/공연장,100461,장애인용 관람석,이용가능
819,10163,연세대학교 노천극장,37.564936700000004,126.9383335,서울특별시 서대문구 연세로 50 연세대학교 노천극장,영화관/공연장,100465,장애인용 관람석,이용가능
827,10166,영산아트홀,37.5172195,126.90392949999999,서울특별시 영등포구 영중로  15,영화관/공연장,100479,장애인용 관람석,이용가능
839,10174,올림픽 예술극장 (K-아트홀 태권도공연장),37.52098270000001,127.11609140000002,서울특별시 송파구 방이동 88 올림픽공원 올림픽문화센터 내,영화관/공연장,100503,장애인용 관람석,이용가능
844,10175,용산아트홀,37.532505799999996,126.99011329999999,서울특별시 용산구 이태원동 34-87,영화관/공연장,100509,장애인용 관람석,이용불편
850,10178,유니버설아트센터,37.5500833,127.0877013,서울특별시 광진구 천호대로 664 (능동),영화관/공연장,100514,장애인용 관람석,이용가능
853,10179,유니클로 악스(구 악스코리아),37.5457324,127.1080051,서울특별시 광진구 구천면로 20 (광장동),영화관/공연장,100515,장애인용 관람석,이용가능
856,10184,이해랑 예술극장,37.55921770000001,126.9985031,서울특별시 중구 필동 3가 26번지,영화관/공연장,100518,장애인용 관람석,이용가능
859,10185,이화여고 100주년 기념관,37.564605799999995,126.9713913,서울특별시 중구 정동 32번지,영화관/공연장,100521,장애인용 관람석,이용가능
861,10186,이화여대 대강당,37.561777299999996,126.9466193,서울특별시 서대문구 이화여대길 52,영화관/공연장,100525,장애인용 관람석,이용불편
865,10189,일지아트홀(구 우림 청담 씨어터),37.5230089,127.04024960000001,서울특별시 강남구 청담2동 86-1번지 I 지하2층,영화관/공연장,100531,장애인용 관람석,이용가능
873,10193,잠실실내체육관,37.5164915,127.0735976,서울특별시 송파구 잠실1동 10번지,영화관/공연장,100542,장애인용 관람석,이용불편
875,10195,장충체육관,37.5581292,127.00690290000001,서울특별시 중구 장충동2가 200-102,영화관/공연장,100554,장애인용 관람석,이용가능
885,10198,점프 서울전용극장,37.5696849,126.99167479999998,서울특별시 종로구 돈화문로 13 서울극장 5층,영화관/공연장,100560,장애인용 관람석,이용불편
888,10200,정동극장,37.56109050000001,126.99536359999999,서울특별시 중구 퇴계로 212,영화관/공연장,100568,장애인용 관람석,이용가능
891,10201,중앙대학교 아트센터 대극장,37.5048875,126.95737790000001,서울특별시 동작구 흑석로84 중앙대학교 내,영화관/공연장,100573,장애인용 관람석,이용불편
896,10202,진선여고 대강당,37.5017085,127.04757859999998,서울특별시 강남구 역삼2동 713,영화관/공연장,100576,장애인용 관람석,이용가능
910,10212,한국문화의 집 코우스,37.5068447,127.06049329999999,서울특별시 강남구 대치동 944-22,영화관/공연장,100596,장애인용 관람석,이용가능
915,10213,한국불교역사문화기념관,37.573899,126.9823254,서울특별시 종로구 견지동 45,영화관/공연장,100601,장애인용 관람석,이용가능
918,10215,해치홀,37.5625106,126.98516869999999,서울특별시 중구 명동2가 31-1 M플라자 5층 서울 글로벌 문화관광센터 內,영화관/공연장,100608,장애인용 관람석,이용가능
930,10219,호암아트홀,37.5615747,126.97106720000001,서울특별시 중구 순화동 7 중앙일보사 건물 호암 아트홀,영화관/공연장,100620,장애인용 관람석,이용가능
931,10221,홍대 비보이 전용극장,37.5535113,126.92675190000001,서울특별시 마포구 와우산로 121 삼진제약BD 지하1층,영화관/공연장,100626,장애인용 관람석,이용가능
13915,14864,갈비세상,37.4985185,126.85183049999999,서울특별시 구로구 경인로 281,일반음식점,117286,장애인용 관람석,이용가능
13992,14892,근린생활시설(천하뼈다귀감자탕),37.67086550000001,127.0557297,서울특별시 노원구 동일로 1595,일반음식점,117224,장애인용 관람석,이용가능
14072,14922,명가설렁탕,37.4860585,126.98499140000001,서울특별시 서초구 서초대로  23,일반음식점,116774,장애인용 관람석,이용가능
14076,14923,명문의집,37.569156400000004,127.0484733,서울특별시 성동구 마장로 360,일반음식점,116778,장애인용 관람석,이용가능
14274,15006,이하정 간장게장 서울본점,37.5118003,127.12612040000002,서울특별시 송파구 위례성대로18길  4,일반음식점,116979,장애인용 관람석,이용가능
14335,15033,코다리냉면,37.4864798,127.1262024,서울특별시 송파구 문정로 31,일반음식점,117042,장애인용 관람석,이용가능
14368,15048,한국의집,37.568838299999996,126.9782419,서울특별시 중구 청계천로 8,일반음식점,117082,장애인용 관람석,이용가능
14575,20073,CGV,37.5284437241851,127.12535988866115,서울특별시 강동구 성내로 48,영화관/공연장,200513,장애인용 관람석,
14588,20074,CGV구로14,37.50115888382457,126.88277403171672,서울특별시 구로구 구로중앙로 152,영화관/공연장,200532,장애인용 관람석,
14601,20075,CGV상암14,37.5635262478331,126.89843632998341,서울특별시 마포구 월드컵로 244,영화관/공연장,200551,장애인용 관람석,
14612,20076,CGV용산 11,37.5297699998206,126.96474274881271,서울특별시 용산구 한강대로23길 55,영화관/공연장,200570,장애인용 관람석,
14644,20092,Ditto HOTEL,37.55829388925655,126.94204851146051,서울특별시 서대문구 연세로2마길  24,일반숙박시설,200682,장애인용 관람석,
14696,20114,FIRASER SUITES,37.57312329979733,126.98633448373072,서울특별시 종로구 인사동4길 1,일반숙박시설,200851,장애인용 관람석,
14788,20155,IMI호텔,37.501033796350825,127.03964976707266,서울특별시 강남구 테헤란로28길 3-12,일반숙박시설,201148,장애인용 관람석,
14790,20156,IMT호텔,37.48679662027596,127.01295778934912,서울특별시 서초구 효령로53길 49,일반숙박시설,201153,장애인용 관람석,
14814,20171,JJ호텔,37.56177185763962,127.05770517993437,서울특별시 성동구 자동차시장1길 2,일반숙박시설,201257,장애인용 관람석,
14835,20185,K.S텔,37.479633212144506,126.95112236887444,서울특별시 관악구 관악로15길 23-15,일반숙박시설,201359,장애인용 관람석,
14858,20194,KBS방송국 서울별관,37.518711488257054,126.92941898842821,서울특별시 영등포구 여의대방로 359,영화관/공연장,201420,장애인용 관람석,
14882,20201,KH바텍사옥,37.48223033295346,127.01273992010954,서울특별시 서초구 반포대로 18,영화관/공연장,201491,장애인용 관람석,
14962,20281,M.BIZ호텔,37.49989046188445,127.03038939829682,서울특별시 강남구 테헤란로7길 11,일반숙박시설,202060,장애인용 관람석,
15000,20295,Moon 호텔,37.518555516832365,126.90713949511914,서울특별시 영등포구 영중로8길 13,일반숙박시설,202163,장애인용 관람석,
15008,20296,M모텔,37.48485991473142,126.93113327989236,서울특별시 관악구 남부순환로181길 6,일반숙박시설,202168,장애인용 관람석,
15029,20303,NINETH 호텔,37.48628477285406,127.01362254632951,서울특별시 서초구 반포대로14길 51,일반숙박시설,202213,장애인용 관람석,
15033,20304,NYX  HOTEL,37.53092259844149,126.83847310770923,서울특별시 강서구 월정로24길 1,일반숙박시설,202218,장애인용 관람석,
15071,20319,R호텔,37.58892005819255,127.00775358099222,서울특별시 성북구 동소문로  14-14,일반숙박시설,202324,장애인용 관람석,
15094,20336,SHOW모텔,37.48548736520558,126.93173422422815,서울특별시 관악구 신림로66길 34,일반숙박시설,202441,장애인용 관람석,
15116,20351,SM호텔,37.4826252381686,127.06270949701906,서울특별시 강남구 선릉로2길 37-5,일반숙박시설,202553,장애인용 관람석,
15147,20371,The View ,37.516200316290785,127.11157569392452,서울특별시 송파구 올림픽로34길 5-16,일반숙박시설,202670,장애인용 관람석,
15166,20378,VERTIGO빌딩,37.55634170573935,126.93730121307377,서울특별시 서대문구 연세로 8-1,영화관/공연장,202715,장애인용 관람석,
15194,20388,W호텔,37.61835772036083,127.07677348271562,서울특별시 노원구 화랑로 445,일반숙박시설,202788,장애인용 관람석,
15217,20396,Y모텔 ,37.54521205881573,126.92996885322214,서울특별시 마포구 서강로24길 24,일반숙박시설,202851,장애인용 관람석,
15228,20402,cs모텔,37.60862039307808,126.92991397440537,서울특별시 은평구 진흥로 183,일반숙박시설,202879,장애인용 관람석,
15293,20429,㈜에니웍스,37.5836476795585,127.00231413577556,서울특별시 종로구 동숭길 144,영화관/공연장,203050,장애인용 관람석,
15367,20450,가나안의집,37.54459718097464,127.13799260844502,서울특별시 강동구 천중로35길 73-7,복지시설,203198,장애인용 관람석,
15392,20465,가락관광호텔,37.493852016172646,127.1187388692868,서울특별시 송파구 송파대로28길 5,일반숙박시설,203355,장애인용 관람석,
15415,20478,가브리엘의집,37.550762417383105,126.97550629168234,서울특별시 용산구 후암로35길 22-23,복지시설,203480,장애인용 관람석,
15435,20487,가야호텔,37.54083991216595,126.97232319812241,서울특별시 용산구 한강대로 253,일반숙박시설,203564,장애인용 관람석,
15510,20531,갈월동 종합사회복지관,37.5457743450545,126.97482444506555,서울특별시 용산구 두텁바위로 25,복지시설,203965,장애인용 관람석,
15539,20541,갑을복지재단 재활센터,37.477704626550576,126.91785350660135,서울특별시 관악구 난우16길 13-7,복지시설,204085,장애인용 관람석,
15560,20556,강남구 직업재활센터,37.48284587857757,127.07937075395105,서울특별시 강남구 광평로64길 22,복지시설,204242,장애인용 관람석,
