,place_id,place_name,lat,lng,place_address,category,facility_id,facility_available_name,facility_is_available
14516,20044,ACE에비뉴빌딩(ACE침대 서울지점),37.5201737570732,127.03085010278649,서울특별시 강남구 도산대로 218,전시장,200314,경보 및 피난설비,
14570,20073,CGV,37.5284437241851,127.12535988866115,서울특별시 강동구 성내로 48,영화관/공연장,200521,경보 및 피난설비,
14583,20074,CGV구로14,37.50115888382457,126.88277403171672,서울특별시 구로구 구로중앙로 152,영화관/공연장,200540,경보 및 피난설비,
14597,20075,CGV상암14,37.5635262478331,126.89843632998341,서울특별시 마포구 월드컵로 244,영화관/공연장,200559,경보 및 피난설비,
14606,20076,CGV용산 11,37.5297699998206,126.96474274881271,서울특별시 용산구 한강대로23길 55,영화관/공연장,200568,경보 및 피난설비,
14642,20092,Ditto HOTEL,37.55829388925655,126.94204851146051,서울특별시 서대문구 연세로2마길  24,일반숙박시설,200680,경보 및 피난설비,
14657,20099,EBM 통합의학,37.474683916185064,127.05112639279658,서울특별시 강남구 논현로8길 28,종합병원,200733,경보 및 피난설비,
14697,20114,FIRASER SUITES,37.57312329979733,126.98633448373072,서울특별시 종로구 인사동4길 1,일반숙박시설,200849,경보 및 피난설비,
14731,20121,GMF빌딩,37.53024664616337,127.12102303957626,서울특별시 강동구 올림픽로  546,종합병원,200908,경보 및 피난설비,
14812,20171,JJ호텔,37.56177185763962,127.05770517993437,서울특별시 성동구 자동차시장1길 2,일반숙박시설,201255,경보 및 피난설비,
14849,20194,KBS방송국 서울별관,37.518711488257054,126.92941898842821,서울특별시 영등포구 여의대방로 359,영화관/공연장,201428,경보 및 피난설비,
14868,20199,KGIT강서센터(한독미디어),37.55785463072355,126.84889969671976,서울특별시 강서구 화곡로61길 ,학교,201468,경보 및 피난설비,
14870,20201,KH바텍사옥,37.48223033295346,127.01273992010954,서울특별시 서초구 반포대로 18,영화관/공연장,201499,경보 및 피난설비,
14898,20222,KT광화문빌딩,37.57214892697915,126.97779042950377,서울특별시 종로구 세종대로 178,전시장,201655,경보 및 피난설비,
14990,20289,MIND관광호텔,37.47887940692706,126.89095804457516,서울특별시 금천구 남부순환로 1262,일반숙박시설,202128,경보 및 피난설비,
15139,20366,THE TRINITY PLACE,37.5269276919481,127.04240574538971,서울특별시 강남구 압구정로 416,전시장,202643,경보 및 피난설비,
15168,20378,VERTIGO빌딩,37.55634170573935,126.93730121307377,서울특별시 서대문구 연세로 8-1,영화관/공연장,202723,경보 및 피난설비,
