,place_id,place_name,lat,lng,place_address,category
0,0,가락시장,37.4923175,127.118104,서울특별시 송파구,지하철
3,1,가산디지털단지,37.48089,126.8825735,서울특별시 금천구,지하철
7,3,강남,37.49794199999999,127.027621,서울특별시 강남구,지하철
10,5,강동,37.53594,127.13218700000002,서울특별시 강동구,지하철
14,7,강변,37.535144,127.094672,서울특별시 광진구,지하철
17,8,개농,37.4981619,127.1346598,서울특별시 광진구,지하철
19,10,개화산,37.572455,126.806839,서울특별시 강서구,지하철
21,11,거여,37.493422,127.143597,서울특별시 송파구,지하철
25,12,건대입구,37.54038900000001,127.069236,서울특별시 광진구,지하철
29,15,고덕,37.555051,127.15411,서울특별시 강동구,지하철
32,16,고려대,37.590401,127.035859,서울특별시 성북구,지하철
35,17,고속터미널,37.5049142,127.00491509999998,서울특별시 서초구,지하철
37,20,공덕,37.54322,126.951576,서울특별시 마포구,지하철
40,21,공릉,37.625787,127.072894,서울특별시 노원구,지하철
43,24,광나루,37.54533199999999,127.103606,서울특별시 광진구,지하철
46,25,광명사거리,37.4793066,126.8546747,서울특별시 null,지하철
49,26,광화문,37.5705263,126.9765729,서울특별시 종로구,지하철
53,27,광흥창,37.54747800000001,126.931855,서울특별시 마포구,지하철
56,28,교대,37.4934705,127.0142285,서울특별시 서초구,지하철
59,30,구로디지털단지,37.48525,126.901472,서울특별시 구로구,지하철
61,31,구산,37.611324,126.917297,서울특별시 은평구,지하철
65,32,구의,37.5368933,127.0852645,서울특별시 광진구,지하철
68,34,구파발,37.636581,126.918833,서울특별시 은평구,지하철
71,35,군자,37.5573355,127.07958899999998,서울특별시 광진구,지하철
73,37,굽은다리,37.545539,127.142906,서울특별시 강동구,지하철
76,39,금호,37.54826,127.01578899999998,서울특별시 성동구,지하철
78,40,길동,37.537769,127.139992,서울특별시 강동구,지하철
81,41,길음,37.603185,127.024914,서울특별시 성북구,지하철
83,42,김포공항,37.5618288,126.8019274,서울특별시 강서구,지하철
86,43,까치산,37.5317675,126.8467055,서울특별시 강서구,지하철
90,44,낙성대,37.477117,126.963418,서울특별시 관악구,지하철
93,45,남구로,37.486087,126.887272,서울특별시 구로구,지하철
96,46,남부터미널,37.48491,127.016274,서울특별시 서초구,지하철
98,47,남성,37.484876,126.970673,서울특별시 동작구,지하철
101,49,남태령,37.464237,126.989097,서울특별시 서초구,지하철
108,51,내방,37.487707,126.993598,서울특별시 서초구,지하철
111,53,노원,37.656349,127.063354,서울특별시 노원구,지하철
115,54,녹번,37.600869,126.935761,서울특별시 은평구,지하철
117,55,녹사평,37.534945,126.9853515,서울특별시 용산구,지하철
119,57,논현,37.511206,127.021728,서울특별시 강남구,지하철
125,59,답십리,37.567072,127.052382,서울특별시 성동구,지하철
129,60,당고개,37.67026,127.079011,서울특별시 노원구,지하철
131,61,당산,37.5340278,126.90199009999998,서울특별시 영등포구,지하철
133,64,대림,37.4930835,126.8957865,서울특별시 구로구,지하철
137,67,대청,37.493601,127.079526,서울특별시 강남구,지하철
139,68,대치,37.494569,127.063446,서울특별시 강남구,지하철
142,70,대흥,37.547674,126.942332,서울특별시 마포구,지하철
146,71,도곡,37.49106,127.0556945,서울특별시 강남구,지하철
149,72,도림천,37.51446,126.882624,서울특별시 구로구,지하철
151,74,도봉산,37.689596,127.0461945,서울특별시 도봉구,지하철
153,76,독립문,37.57445300000001,126.957918,서울특별시 서대문구,지하철
157,77,독바위,37.618387,126.933037,서울특별시 은평구,지하철
160,79,돌곶이,37.610493,127.056403,서울특별시 성북구,지하철
163,80,동대문,37.5709433,127.0065724,서울특별시 종로구,지하철
167,81,동대문역사문화공원,37.565102,127.007765,서울특별시 중구,지하철
171,83,동대입구,37.558126,127.005316,서울특별시 중구,지하철
174,84,동묘앞,37.572729,127.016008,서울특별시 종로구,지하철
178,87,동작,37.503062,126.97909950000002,서울특별시 동작구,지하철
180,89,둔촌동,37.527657,127.136231,서울특별시 강동구,지하철
183,90,뚝섬,37.54724,127.04731,서울특별시 성동구,지하철
185,91,뚝섬유원지,37.531537,127.066691,서울특별시 광진구,지하철
188,94,마들,37.665375,127.057614,서울특별시 노원구,지하철
192,95,마장,37.566127,127.042965,서울특별시 성동구,지하철
195,97,마포,37.539705,126.94604,서울특별시 마포구,지하철
198,99,망원,37.55597720000001,126.9012821,서울특별시 마포구,지하철
201,101,매봉,37.48703500000001,127.046918,서울특별시 강남구,지하철
203,102,먹골,37.61078,127.077707,서울특별시 중랑구,지하철
206,103,면목,37.588745,127.087494,서울특별시 중랑구,지하철
209,104,명동,37.5609892,126.9861868,서울특별시 중구,지하철
212,105,명일,37.55131,127.14401399999998,서울특별시 강동구,지하철
219,108,목동,37.526072,126.864301,서울특별시 양천구,지하철
222,109,몽촌토성,37.517641,127.11274,서울특별시 송파구,지하철
