,lat,lon,place_name,total_facility_available_name,large_range_category
43933,37.447970700000006,126.885065,시흥빌딩 화장실,객실 및 침실,화장실
29466,37.48108483146283,126.949208429582,손승환내과,객실 및 침실,일반숙박시설
22231,37.553183425256,126.85139433767156,드림텔호텔,객실 및 침실,일반숙박시설
33532,37.60890914248347,127.03751435901276,월곡종합사회복지관,객실 및 침실,복지시설
29486,37.51574040501664,127.11388252077411,솔 모텔,객실 및 침실,일반숙박시설
23906,37.56887083116287,126.9884814125715,몽호텔,객실 및 침실,일반숙박시설
15302,37.5297699998206,126.96474274881271,CGV용산 11,객실 및 침실,영화관/공연장
19970,37.55486445119392,126.85264494964252,노스탈자호텔,객실 및 침실,일반숙박시설
33451,37.48628534229936,126.94119962866276,원익빌딩,객실 및 침실,종합병원
17576,37.57572251653142,126.99681217433556,고궁호텔,객실 및 침실,일반숙박시설
33595,37.564483681788396,126.98018321530917,웨스틴조선호텔 서울점,객실 및 침실,일반숙박시설
21177,37.583456691546466,126.99984149795456,대학로CGV,객실 및 침실,영화관/공연장
23898,37.51954527011404,126.91005221595884,몰디브모텔,객실 및 침실,일반숙박시설
15291,37.5635262478331,126.89843632998341,CGV상암14,객실 및 침실,영화관/공연장
23086,37.479190930114996,126.8887823521484,마리모텔,객실 및 침실,일반숙박시설
16748,37.49471831292079,127.0834994877244,강남장애인복지관,객실 및 침실,복지시설
29563,37.605846967229745,127.10646373713423,송곡여자고등학교 ,객실 및 침실,학교
15265,37.50115888382457,126.88277403171672,CGV구로14,객실 및 침실,영화관/공연장
27408,37.55584906407182,127.12820344143765,서울선사초등학교,객실 및 침실,학교
26059,37.5879487800829,127.05513485090599,삼육의료원건강검진센터,객실 및 침실,종합병원
21154,37.50658339307788,127.0653262973692,대치동 KT&G,객실 및 침실,영화관/공연장
29512,37.53600740310847,127.11587298628555,솔바람복지센터,객실 및 침실,복지시설
18201,37.54296419099017,127.09443419719764,교육관,객실 및 침실,복지시설
25956,37.49849836419981,126.94661824611583,삼성애니아트,객실 및 침실,복지시설
42725,37.512107,127.082406,올림픽공원-제1체육관(체조) 화장실,객실 및 침실,화장실
40330,37.53587,127.113731,송파나루(놀이마당) 화장실 화장실,객실 및 침실,화장실
40345,37.508531,127.07691000000001,잠실공원 화장실 화장실,객실 및 침실,화장실
23123,37.54970612586629,126.84619567115324,마음자리,객실 및 침실,복지시설
19955,37.57667716184426,126.9896711318745,노블호텔,객실 및 침실,일반숙박시설
15371,37.474683916185064,127.05112639279658,EBM 통합의학,객실 및 침실,종합병원
16649,37.48284587857757,127.07937075395105,강남구 직업재활센터,객실 및 침실,복지시설
27466,37.631250648442794,127.02029218436115,서울수유초등학교,객실 및 침실,학교
40367,37.508540999999994,127.076715,방이공원 화장실 화장실,객실 및 침실,화장실
20616,37.47167750229508,127.0525939550434,능인종합사회복지관,객실 및 침실,복지시설
16686,37.502391813696256,127.00586275297856,강남성모병원 ,객실 및 침실,종합병원
40385,37.520247,127.115553,송이공원 화장실 화장실,객실 및 침실,화장실
23567,37.47414203178401,126.98100296905069,메트로21,객실 및 침실,일반숙박시설
33669,37.56366945924804,127.03432246016622,윈저모텔,객실 및 침실,일반숙박시설
33659,37.55390086467766,126.93555589773148,위드호텔,객실 및 침실,일반숙박시설
33654,37.60680802070691,126.90935833499806,위드 자립생활센터,객실 및 침실,복지시설
15348,37.55829388925655,126.94204851146051,Ditto HOTEL,객실 및 침실,일반숙박시설
40410,37.494547,127.120977,가락공원1(관리동) 화장실 화장실,객실 및 침실,화장실
27448,37.603470276656665,126.96097087510286,서울세검정초등학교,객실 및 침실,학교
21202,37.582058349057284,127.00041662615543,대학로스타시티빌딩,객실 및 침실,영화관/공연장
40419,37.522698999999996,127.126848,가락공원2 (족구장) 화장실 화장실,객실 및 침실,화장실
33676,37.46525449890565,126.89717227494756,윈저텔,객실 및 침실,일반숙박시설
29376,37.5039344562304,127.0024111972472,센트럴시티,객실 및 침실,영화관/공연장
33306,37.65745218883934,127.01391214662264,우이새길요양병원,객실 및 침실,종합병원
16778,37.49198231160321,127.07346872881212,강남종합사회복지관,객실 및 침실,복지시설
29775,37.47701166097485,126.98701676710579,수영빌딩,객실 및 침실,종합병원
26196,37.668091017040965,127.07832536015448,상계종합복지관,객실 및 침실,복지시설
27323,37.588770331507455,127.04717356048012,서울삼육초등학교,객실 및 침실,학교
23027,37.5057369080659,127.02744216509888,리츠칼튼 서울호텔,객실 및 침실,일반숙박시설
40891,37.492385,127.127344,현대드림밸리빌딩 화장실,객실 및 침실,화장실
18644,37.59336500510857,127.09551239550972,구세군자활주거복지센터,객실 및 침실,복지시설
16872,37.5351413199334,127.1461259743747,강동미르사랑 데이케어센터,객실 및 침실,복지시설
32874,37.62542245839128,127.0857887210488,온곡중학교,객실 및 침실,학교
27310,37.62329377425496,127.01614864583084,서울삼양초등학교,객실 및 침실,학교
32927,37.52034113915062,127.11551844445054,올림픽공원,객실 및 침실,영화관/공연장
23614,37.55928048815075,127.0128571521314,명덕빌딩,객실 및 침실,종합병원
40925,37.53595,127.116069,동성빌딩 화장실,객실 및 침실,화장실
32850,37.48324909992364,126.90096467069904,오아시스,객실 및 침실,일반숙박시설
40942,37.527741999999996,127.113877,세기빌딩 화장실,객실 및 침실,화장실
27297,37.58714287515434,127.01267173118393,서울삼선초등학교,객실 및 침실,학교
32815,37.55587671427213,126.93715673995376,오렌지카운티,객실 및 침실,일반숙박시설
18626,37.6256799328332,127.0133941983791,구세군강북사회종합복지관,객실 및 침실,복지시설
17502,37.5421911416662,127.07131374250031,경영관,객실 및 침실,학교
23617,37.563849851243965,126.98322129724508,명동센트럴빌딩,객실 및 침실,일반숙박시설
16894,37.5381321156947,127.12794228262275,강동미즈문화센터,객실 및 침실,종합병원
26226,37.47372781474297,126.89741842168924,상금복지관,객실 및 침실,복지시설
15252,37.5284437241851,127.12535988866115,CGV,객실 및 침실,영화관/공연장
40865,37.4926707943,126.966637299,학수(현충) 화장실,객실 및 침실,화장실
32942,37.51473337679194,127.10780914943048,와우호텔,객실 및 침실,일반숙박시설
22280,37.565385474725474,126.84225618100642,"등촌1,2단지 복지관",객실 및 침실,복지시설
26102,37.502185731700365,126.88247386119151,삼전솔하임,객실 및 침실,종합병원
27384,37.523451293072384,126.86723651941193,서울서정초등학교,객실 및 침실,학교
33137,37.53342351659932,126.95186116423416,용산문화원,객실 및 침실,영화관/공연장
23047,37.654772107802266,127.0574597669852,릿츠호텔,객실 및 침실,일반숙박시설
42608,37.508691,127.09774099999998,잠실7동주민센터 화장실,객실 및 침실,화장실
23860,37.530718761133116,126.87550066223238,목동청소년수련관,객실 및 침실,영화관/공연장
26130,37.48132286429883,126.94959719986628,삼호빌딩,객실 및 침실,종합병원
33070,37.58700426419113,127.09518724840542,용마문화복지센터,객실 및 침실,복지시설
32940,37.563647590223326,127.03515549730663,올모텔,객실 및 침실,일반숙박시설
27358,37.66767303864923,127.059718447124,서울상원초등학교,객실 및 침실,학교
16832,37.55316900838627,127.1569620924066,강동경희대학교병원,객실 및 침실,종합병원
22303,37.56188161033503,126.80991135278586,등촌4종합사회복지관,객실 및 침실,복지시설
40812,37.493745000000004,127.144305,로데오 상점가-취약지역 화장실,객실 및 침실,화장실
21123,37.48393815160635,127.07899653234749,대청사회복지관(증축),객실 및 침실,복지시설
32979,37.57411669125108,127.02225543550968,와이키키모텔,객실 및 침실,일반숙박시설
23840,37.5235867227291,126.87577496500566,목동자생한방병원,객실 및 침실,종합병원
32971,37.53035223785693,126.8458688621669,와이커키호텔(쇼호텔),객실 및 침실,일반숙박시설
27336,37.6596254560325,127.06649374513405,서울상계초등학교,객실 및 침실,학교
29745,37.487979084583344,127.10563137733976,수서종합사회복지관,객실 및 침실,복지시설
42593,37.506786,127.098228,잠실6동주민센터 화장실,객실 및 침실,화장실
40959,37.491772999999995,127.15561000000001,삼성디지탈프라자 화장실,객실 및 침실,화장실
33793,37.55359727019975,126.91687849377425,유양호텔,객실 및 침실,일반숙박시설
40321,37.512572,127.10819,KT가락지점 화장실,객실 및 침실,화장실
40038,37.51077,127.116514,송파도서관(오금동 51) 화장실,객실 및 침실,화장실
19888,37.6551928314844,127.05935034488756,노블레스관광호텔,객실 및 침실,일반숙박시설
22091,37.64451397788511,127.07292525022612,동천의집,객실 및 침실,복지시설
40056,37.507065000000004,127.07988600000002,청소년 수련관 화장실,객실 및 침실,화장실
34369,37.535365060450786,126.9982304434218,이태원 IP호텔,객실 및 침실,일반숙박시설
18844,37.55681628993303,126.94212208803258,굿타임호텔,객실 및 침실,일반숙박시설
